Node	Time	Old_population	New_population
174	0.8219561573923945	150	195
175	0.8219500586010858	133	195
176	0.8217749484423613	24	195
177	0.821770693123398	59	195
178	0.821743354636202	46	64
179	0.8216901798431612	30	169
180	0.8216805840046489	79	195
182	0.8215194659100906	23	64
183	0.8215164328193995	30	195
184	0.8214604007822802	24	64
185	0.821454567034737	0	64
186	0.821324585472471	171	64
187	0.8213173821422278	199	64
188	0.8212782330692983	183	64
189	0.8212673273610563	176	195
190	0.8212544460534664	54	195
191	0.8212154546688124	192	195
192	0.821182220898177	30	195
193	0.8211013407192902	101	195
194	0.8210266159672034	0	64
195	0.8210065425415497	1	195
197	0.8209615681023573	24	64
198	0.8209588257982772	137	64
199	0.8209537960288632	138	195
200	0.8209395101611536	30	195
201	0.8208342244608472	74	195
202	0.8208166152902794	31	195
204	0.8207294928674477	101	64
205	0.82072865024131	141	64
206	0.820662891885731	138	195
207	0.8206228460039805	162	86
208	0.8205627417151311	133	86
209	0.8204626638460443	195	64
210	0.8204556816666054	86	195
211	0.820433271911732	9	64
212	0.8203919201056321	15	195
213	0.8203584345615069	151	195
214	0.8203574446478111	0	195
215	0.8202915519329577	1	195
216	0.8202542444095862	150	195
217	0.8201794008414924	123	195
218	0.8201356152205149	195	64
220	0.8200996152617092	151	195
222	0.8200277938053756	30	195
223	0.8200224648362625	93	195
225	0.8199624055042221	86	195
226	0.8199380621022748	0	64
227	0.819841278357631	158	64
228	0.8197046919777142	199	195
229	0.8197026928598116	90	195
230	0.819669356189156	35	195
231	0.8196424141286706	166	64
232	0.819534642331936	86	169
233	0.8195339529640747	88	64
234	0.8194604488383351	86	135
235	0.8193780468998495	150	64
236	0.8193214727377726	137	195
238	0.8193141987726057	101	64
239	0.8192808501566204	199	64
240	0.8192071600898897	160	64
242	0.8191892671227495	189	64
243	0.8191473486733604	138	132
244	0.8190570042036159	83	195
245	0.819022817459182	202	64
246	0.8190113836534071	0	195
247	0.8189019745646043	195	64
248	0.8188650630618239	86	195
249	0.8188353314625811	39	64
250	0.8188065650151255	83	195
251	0.8188005682855332	93	195
252	0.8187627024305538	86	64
253	0.8187447168232375	133	5
254	0.8186533490946575	0	195
255	0.8186525697707783	11	64
256	0.8186265528819147	30	195
257	0.8185940217408338	62	64
258	0.8185711479645493	50	195
259	0.8185370347523044	93	195
260	0.8184823333185675	0	151
261	0.8183839483084925	88	195
262	0.8183713001057376	46	195
263	0.8183588681585486	0	64
264	0.8183263307014862	5	195
265	0.8183175789245919	62	195
